區名,件數,土地筆數,建物棟數
左營區,480,469,475
三民區,326,346,319
鳳山區,421,346,422
楠梓區,281,305,267
大寮區,170,291,101
小港區,244,265,229
苓雅區,190,245,197
前鎮區,157,236,128
仁武區,184,222,163
鼓山區,156,170,149
新興區,110,141,117
橋頭區,87,117,46
岡山區,74,99,34
燕巢區,60,87,36
鳥松區,50,86,31
林園區,55,86,51
前金區,43,66,44
大樹區,32,66,12
路竹區,42,60,18
大社區,36,58,15
美濃區,34,48,5
旗山區,34,47,11
茄萣區,22,43,21
湖內區,29,40,17
梓官區,25,37,14
彌陀區,21,37,11
鹽埕區,19,27,19
阿蓮區,18,23,7
旗津區,7,14,4
杉林區,9,13,0
六龜區,7,11,3
永安區,6,9,1
田寮區,6,9,0
甲仙區,6,6,0
那瑪夏區,1,6,0
內門區,4,5,0
桃源區,1,1,0
茂林區,0,0,0
